"","barcodes","treatment","timepoint","aifi_cell_type","UMAP_1","UMAP_2","cell_type_color","treatment_color"
"9350","38388dd6fb8111eda35df29f570c0793","lenalidomide",24,"t_cd4_naive",-0.0987320810786565,-3.50366252376568,"#93A7D1","#59C1BD"
"9351","1bdbdedcfb8011ed8e8a7625f34dfd6b","lenalidomide",24,"t_cd4_naive",0.994192871428363,-1.15281361057293,"#93A7D1","#59C1BD"
"9352","7aba53a2fb8011eda0a9e2763843e521","lenalidomide",24,"t_cd4_naive",-0.0486380726329168,0.577383580665477,"#93A7D1","#59C1BD"
"9353","9d9ed720fb8111ed99031af2246d8fa2","lenalidomide",24,"t_cd4_naive",-1.05202760996736,-2.4721190304948,"#93A7D1","#59C1BD"
"9354","bc455d20fb8111edb32712c42668f295","lenalidomide",24,"t_cd4_naive",-0.250277844094404,-2.17688309862148,"#93A7D1","#59C1BD"
"9355","b66bdf5afb8111edb32712c42668f295","lenalidomide",24,"t_cd4_naive",-0.38810953202165,-4.94701999141704,"#93A7D1","#59C1BD"
"9356","dbdd7e32fb8711edbbcffe1e90e63656","lenalidomide",24,"t_cd8_naive",-6.23762389721788,0.647562089424021,"#8DC63F","#59C1BD"
"9357","fa9cd438ff2111edaa5fda2b1e723be2","lenalidomide",24,"t_cd4_em",-0.34634813370622,3.8713799147414,"#1C75BC","#59C1BD"
"9358","c0db7778fb7e11ed84ffaefa3cccb57a","lenalidomide",24,"t_cd8_naive",-6.99969741406358,0.85430985973347,"#8DC63F","#59C1BD"
"9359","d3fdcaaafb8711edbbcffe1e90e63656","lenalidomide",24,"t_cd4_treg",3.66302517352187,-0.532039699096791,"#E57A93","#59C1BD"
"9360","2e59dd74fb8111eda35df29f570c0793","lenalidomide",24,"t_cd4_em",-0.530636039399274,3.40975147769917,"#1C75BC","#59C1BD"
"9361","3863b612fb8311ed9fae72654f839162","lenalidomide",24,"t_cd4_naive",0.272700104094378,-3.08974557830822,"#93A7D1","#59C1BD"
"9362","9f46de3efb8011edb519365d129239e0","lenalidomide",24,"t_cd4_em",0.465751442290179,3.11935192630757,"#1C75BC","#59C1BD"
"9363","c924aaa6fb7b11ed8d7c62b1232be981","lenalidomide",24,"t_cd4_naive",-0.912192729138501,-3.19141226722728,"#93A7D1","#59C1BD"
"9364","b3869b98fb7e11ed84ffaefa3cccb57a","lenalidomide",24,"t_cd8_memory",-3.2766462236873,5.48358398960102,"#009444","#59C1BD"
"9365","cd5ca748fb8711edbbcffe1e90e63656","lenalidomide",24,"t_cd4_cm",-0.220472183846601,1.39101535366047,"#00AEEF","#59C1BD"
"9366","99b5fe6efb8011edb519365d129239e0","lenalidomide",24,"t_cd4_cm",3.74618271288954,-0.553101834793203,"#00AEEF","#59C1BD"
"9367","48b62fc8fb8211ed9d09f6494964bb81","lenalidomide",24,"t_cd8_naive",-7.09891292157091,0.892641845207103,"#8DC63F","#59C1BD"
"9368","2e4b6f78fb8111eda35df29f570c0793","lenalidomide",24,"t_cd4_naive",-0.205366221093305,-3.16427117301952,"#93A7D1","#59C1BD"
"9369","76bde610fb8011eda0a9e2763843e521","lenalidomide",24,"t_cd8_memory",-3.14590272011674,3.75476795719136,"#009444","#59C1BD"
"9370","d5472fbefb8711edbbcffe1e90e63656","lenalidomide",24,"t_cd4_cm",0.534910711623065,0.331745686988719,"#00AEEF","#59C1BD"
"9371","fffa5b94fb7f11ed898e2a71e2203848","lenalidomide",24,"t_cd4_naive",-1.04037096800721,-2.48983752443325,"#93A7D1","#59C1BD"
"9372","3f62912efb8111eda35df29f570c0793","lenalidomide",24,"t_cd4_em",-0.407928910874494,3.49078995273579,"#1C75BC","#59C1BD"
"9373","773051dcfb8011eda0a9e2763843e521","lenalidomide",24,"t_cd4_naive",-1.05880930724061,-2.66853463365566,"#93A7D1","#59C1BD"
"9374","49ea7914fb7b11ed8a1abe9d4c5fcb23","lenalidomide",24,"t_cd4_em",-0.230186548852094,3.54825026081074,"#1C75BC","#59C1BD"
"9375","9d92b6b6fb8111ed99031af2246d8fa2","lenalidomide",24,"t_cd4_naive",-0.594825235032209,-2.23834049417507,"#93A7D1","#59C1BD"
"9376","c5ef4030fb7b11ed8d7c62b1232be981","lenalidomide",24,"t_cd4_naive",-0.235158410691388,-4.93632453395855,"#93A7D1","#59C1BD"
"9377","759430fafb8011eda0a9e2763843e521","lenalidomide",24,"t_cd4_naive",-0.839575615548261,-2.93943470432293,"#93A7D1","#59C1BD"
"9378","1c32d174fb8011ed8e8a7625f34dfd6b","lenalidomide",24,"t_cd4_naive",0.299277695990435,-1.28592240526211,"#93A7D1","#59C1BD"
"9379","416106befb7b11ed8a1abe9d4c5fcb23","lenalidomide",24,"t_cd4_naive",-1.03787353339113,-1.86992691173088,"#93A7D1","#59C1BD"
"9380","38829af0fb8311ed9fae72654f839162","lenalidomide",24,"t_cd8_memory",-3.26701900067247,5.38896900699604,"#009444","#59C1BD"
"9381","fce425b6ff2111edaa5fda2b1e723be2","lenalidomide",24,"t_cd8_naive",-6.27404614987291,0.818772855262645,"#8DC63F","#59C1BD"
"9382","460b3b3afb7b11ed8a1abe9d4c5fcb23","lenalidomide",24,"t_cd4_naive",0.0773279994496028,-1.95167199983131,"#93A7D1","#59C1BD"
"9383","4486df44fb7b11ed933dc6f18f77c1a7","lenalidomide",24,"t_cd4_naive",-1.82926590444959,-0.851341185112111,"#93A7D1","#59C1BD"
"9384","473f3740fb7b11ed8a1abe9d4c5fcb23","lenalidomide",24,"t_cd8_memory",-2.12516370119966,4.50086790607441,"#009444","#59C1BD"
"9385","03672316fb8011ed898e2a71e2203848","lenalidomide",24,"t_cd8_naive",-6.22230407299913,0.35434419200886,"#8DC63F","#59C1BD"
"9386","3c78d5acfb8311ed9fae72654f839162","lenalidomide",24,"t_cd4_cm",0.413267883635394,2.89159542606343,"#00AEEF","#59C1BD"
"9387","4443a350fb7b11ed933dc6f18f77c1a7","lenalidomide",24,"t_cd4_naive",-0.376111474656232,-3.75361352874767,"#93A7D1","#59C1BD"
"9388","25af18c2fb8311ed9fae72654f839162","lenalidomide",24,"t_cd4_naive",-1.93311044278062,-0.90506970598232,"#93A7D1","#59C1BD"
"9389","4b963d28fb8211ed9d09f6494964bb81","lenalidomide",24,"t_cd4_cm",-0.356432643555768,2.71390444324482,"#00AEEF","#59C1BD"
"9390","755e8892fb8011eda0a9e2763843e521","lenalidomide",24,"t_cd4_cm",0.0868496030338923,3.00203138874043,"#00AEEF","#59C1BD"
"9391","c10811b6fb7e11ed84ffaefa3cccb57a","lenalidomide",24,"t_cd4_naive",-0.235376563691266,-2.89494043304455,"#93A7D1","#59C1BD"
"9392","c9c10d2efb7b11ed8d7c62b1232be981","lenalidomide",24,"t_cd4_naive",-0.616997209214338,-3.06567173912059,"#93A7D1","#59C1BD"
"9393","ba54d7f0fb7e11ed84ffaefa3cccb57a","lenalidomide",24,"t_cd8_memory",-2.91638835968889,3.8842316298293,"#009444","#59C1BD"
"9394","76304422fb8011eda0a9e2763843e521","lenalidomide",24,"t_cd8_naive",-6.71832439007676,0.803752484779246,"#8DC63F","#59C1BD"
"9395","200c12e2fb8011ed8e8a7625f34dfd6b","lenalidomide",24,"t_cd8_naive",-5.52405973973192,0.827207389335521,"#8DC63F","#59C1BD"
"9396","a0390bc8fb8011edb519365d129239e0","lenalidomide",24,"t_cd8_naive",-6.3501073986522,1.85493785427082,"#8DC63F","#59C1BD"
"9397","faf1bd86ff2111edaa5fda2b1e723be2","lenalidomide",24,"t_cd4_naive",-0.466657963418134,-2.72612768127453,"#93A7D1","#59C1BD"
"9398","7b7351aefb8011eda0a9e2763843e521","lenalidomide",24,"t_cd8_naive",-6.34657594265855,0.351031127433665,"#8DC63F","#59C1BD"
