gene,x_lfc,x_fdr,x_dir,y_lfc,y_fdr,y_dir,color
SLC2A3,-0.0153657544716828,0.312016292939828,no,0.0940104801093811,0.0135768210893853,up,orange
SLC30A5,-0.0216690611176515,0.325146522129101,no,0.0317480254057609,0.596771577422424,no,gray80
SLC30A6,0.0255058866788245,0.738573983003163,no,0.0554692990425369,0.166688831714764,no,gray80
SLC30A7,-0.0903102585166011,0.0595748332901878,no,0.195087209221273,7.35409436972804e-06,up,orange
SLC30A9,-0.00252434260908296,0.998820275071142,no,0.0313572722485653,0.774476561511089,no,gray80
SLC33A1,-0.0451506640972387,0.327907218025655,no,0.161842459365206,1.97662846468147e-07,up,orange
SLC35A1,0.0258433542373688,0.684246013409067,no,0.0155215669605456,0.693542996856102,no,gray80
SLC35A3,0.0337349960492106,0.62488035471463,no,0.033407503129239,0.35836040300197,no,gray80
SLC35A5,-0.00314563935615716,0.937752448023044,no,-0.00174140925696575,0.423401921980184,no,gray80
SLC35B3,-0.0046399483043304,0.848046839789736,no,-0.000259868092557097,0.819878652509164,no,gray80
SLC35B4,0.0136805169498661,0.653697607101683,no,-0.0240006137291697,0.518901434315832,no,gray80
SLC35C2,0.022806526865548,0.571327129172408,no,0.0101908191746679,0.921168293774455,no,gray80
SLC35D1,-0.0308172911968505,0.544816018640635,no,-0.0334343865876088,0.0735840687775958,no,gray80
SLC35E1,0.00674266347514395,0.545014449290928,no,-0.00221640169392484,0.919603614674325,no,gray80
SLC35E2A,-0.0306268195963699,0.39324611709172,no,-0.0506485342956331,0.174769821569335,no,gray80
SLC35E2B,0.00721122086941184,0.380229105508225,no,-0.0281841630906543,0.654342571087033,no,gray80
SLC35E3,0.0288903968447147,0.322322355572656,no,-0.0538836432186663,0.0940039042592984,no,gray80
SLC35F5,0.0452786810683311,0.370041784022536,no,-0.0140918420344135,0.926031950714832,no,gray80
SLC35G1,-0.00530391875374608,0.959758803383662,no,-0.0125425825907569,0.843090670129039,no,gray80
SLC36A4,-0.0215976811048703,0.809950229776773,no,-0.00276738853565628,0.813663711147966,no,gray80
SLC37A1,-0.0195700432965901,0.541807991643747,no,0.0138359681924367,0.80645792926527,no,gray80
SLC37A3,0.162160171739934,2.30323034510098e-07,up,0.00429396426217732,0.993738563353861,no,orange
SLC38A1,0.0430285960469459,0.516893017893575,no,-0.04589701101288,0.546318537066836,no,gray80
SLC38A10,-0.011841801602615,0.911484406622228,no,-0.00304566395821534,0.975236523216824,no,gray80
SLC38A2,-0.235440151028298,1.18420500175143e-12,dn,-0.134742400700706,0.00794735489870358,dn,darkblue
SLC38A6,0.00461977964119972,0.987087195945162,no,-0.0236639657661476,0.358956364730902,no,gray80
SLC38A9,0.0713542432190936,0.0893562194240237,no,0.033799539330578,0.524413718494325,no,gray80
SLC39A10,-0.158354380381828,8.30567185400822e-07,dn,-0.0524254369072217,0.532052823938845,no,skyblue
SLC39A11,-0.0913190730416846,0.00109486934402643,dn,0.0852203722778349,0.0471020544137627,up,limegreen
SLC39A6,0.00184088158102361,0.862667466629142,no,-0.0166554711893,0.695930227904396,no,gray80
SLC39A8,0.0842616902989477,0.00298023656825952,up,0.0497125719339477,0.197806489545217,no,orange
SLC39A9,-0.0154262071279854,0.848046839789736,no,-0.0320784236193154,0.525280417933346,no,gray80
SLC3A2,-0.0921212393443643,0.00569208243805041,dn,-0.0864016563578111,0.0551129167426132,no,skyblue
