aifi_cell_type,gene,fg,timepoint,treat_time,logFC,nomP,adjP,treat_order,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos
t_cd4_em,CXCR4,dexamethasone,4,dexamethasone_4,0.422698261682496,1.8564264911245e-10,3.44797261705197e-08,12,CD4 EM,#1C75BC,3,5
t_cd4_em,IL2RA,dexamethasone,4,dexamethasone_4,0.352658397695167,7.72399714260592e-08,8.64974091778589e-06,12,CD4 EM,#1C75BC,3,5
t_cd4_em,IL6ST,dexamethasone,4,dexamethasone_4,-0.0912951691262827,0.182661322887784,0.729017805969849,12,CD4 EM,#1C75BC,3,5
t_cd4_em,IL7R,dexamethasone,4,dexamethasone_4,0.154177309787235,0.0570904333690078,0.499658577807819,12,CD4 EM,#1C75BC,3,5
t_cd4_em,SLAMF1,dexamethasone,4,dexamethasone_4,0.177032233932632,0.00664754881227186,0.152933789140333,12,CD4 EM,#1C75BC,3,5
t_cd4_em,TNFRSF4,dexamethasone,4,dexamethasone_4,-0.335948300204212,7.37772087639963e-08,8.38527529459451e-06,12,CD4 EM,#1C75BC,3,5
t_cd4_naive,CD69,dexamethasone,4,dexamethasone_4,0.351803535921388,4.40026742354544e-22,3.57971755513203e-20,12,CD4 Naive,#93A7D1,1,7
t_cd4_naive,CD74,dexamethasone,4,dexamethasone_4,-0.0533175046769198,0.00427437685007308,0.0397922807147896,12,CD4 Naive,#93A7D1,1,7
t_cd4_naive,CXCR4,dexamethasone,4,dexamethasone_4,0.599768010889838,1.60488947326568e-79,9.57450311592419e-77,12,CD4 Naive,#93A7D1,1,7
t_cd4_naive,IL2RA,dexamethasone,4,dexamethasone_4,0.0956095303616379,0.000774550098615479,0.00961005919582012,12,CD4 Naive,#93A7D1,1,7
t_cd4_naive,IL6ST,dexamethasone,4,dexamethasone_4,0.615799724122907,6.77024888340097e-69,2.55095851348777e-66,12,CD4 Naive,#93A7D1,1,7
t_cd4_naive,IL7R,dexamethasone,4,dexamethasone_4,0.147899389489385,1.77675341492398e-06,3.81975306229453e-05,12,CD4 Naive,#93A7D1,1,7
t_cd4_naive,SLAMF1,dexamethasone,4,dexamethasone_4,0.256492414088671,6.57070042748901e-48,1.30665678778872e-45,12,CD4 Naive,#93A7D1,1,7
t_cd4_treg,CD69,dexamethasone,4,dexamethasone_4,0.127193350286551,0.0996005451001868,0.838692210482866,12,CD4 Treg,#E57A93,4,4
t_cd4_treg,CD74,dexamethasone,4,dexamethasone_4,-0.220959766499907,0.0151405089285002,0.471589622363119,12,CD4 Treg,#E57A93,4,4
t_cd4_treg,CXCR4,dexamethasone,4,dexamethasone_4,0.59103410302109,3.07974676779169e-09,3.90101257253615e-06,12,CD4 Treg,#E57A93,4,4
t_cd4_treg,IL2RA,dexamethasone,4,dexamethasone_4,0.143869393279898,0.0322682944904729,0.609047273857273,12,CD4 Treg,#E57A93,4,4
t_cd4_treg,IL6ST,dexamethasone,4,dexamethasone_4,0.308071211896338,0.00757032793130346,0.321421744569309,12,CD4 Treg,#E57A93,4,4
t_cd4_treg,IL7R,dexamethasone,4,dexamethasone_4,0.304479995699715,4.24561842585947e-06,0.00111264482884593,12,CD4 Treg,#E57A93,4,4
t_cd4_treg,SLAMF1,dexamethasone,4,dexamethasone_4,0.316683913089486,8.04747200164167e-06,0.00203869290708256,12,CD4 Treg,#E57A93,4,4
t_cd4_treg,TNFRSF4,dexamethasone,4,dexamethasone_4,-0.111182018950484,0.122070400640402,0.855055340891297,12,CD4 Treg,#E57A93,4,4
t_cd8_memory,CD69,dexamethasone,4,dexamethasone_4,0.0250765557876707,0.949759073252155,0.992222648460822,12,CD8 Memory,#009444,6,2
t_cd8_memory,CD74,dexamethasone,4,dexamethasone_4,-0.0370251492406903,0.51632574528668,0.925703526799998,12,CD8 Memory,#009444,6,2
t_cd8_memory,CXCR4,dexamethasone,4,dexamethasone_4,0.858532487244036,3.93812464217042e-22,9.96476805290522e-19,12,CD8 Memory,#009444,6,2
t_cd8_memory,IL2RA,dexamethasone,4,dexamethasone_4,0.0927861948768009,0.0639361500810824,0.611667850431627,12,CD8 Memory,#009444,6,2
t_cd8_memory,IL6ST,dexamethasone,4,dexamethasone_4,0.0598706213077865,0.36379534721,0.87669668745001,12,CD8 Memory,#009444,6,2
t_cd8_memory,IL7R,dexamethasone,4,dexamethasone_4,0.49277764831407,5.27686223158135e-08,1.14447603428383e-05,12,CD8 Memory,#009444,6,2
t_cd8_memory,SLAMF1,dexamethasone,4,dexamethasone_4,-0.100420115701029,0.296186102417888,0.861396174438337,12,CD8 Memory,#009444,6,2
t_cd8_naive,CD69,dexamethasone,4,dexamethasone_4,0.26237815774713,1.81174822034335e-05,0.000922071859161497,12,CD8 Naive,#8DC63F,5,3
t_cd8_naive,CD74,dexamethasone,4,dexamethasone_4,-0.060858725764198,0.32883685705042,0.78950785849425,12,CD8 Naive,#8DC63F,5,3
t_cd8_naive,CXCR4,dexamethasone,4,dexamethasone_4,0.509630296534363,9.16821865807582e-31,5.41982772210098e-28,12,CD8 Naive,#8DC63F,5,3
t_cd8_naive,IL2RA,dexamethasone,4,dexamethasone_4,0.0454802503212809,0.0580364296428218,0.463627818924205,12,CD8 Naive,#8DC63F,5,3
t_cd8_naive,IL6ST,dexamethasone,4,dexamethasone_4,0.346412491479881,1.64602980486377e-12,3.01184263104239e-10,12,CD8 Naive,#8DC63F,5,3
t_cd8_naive,IL7R,dexamethasone,4,dexamethasone_4,0.092523869628909,0.140715627464429,0.634845457495011,12,CD8 Naive,#8DC63F,5,3
