aifi_cell_type,timepoint,fg,bg,n_sample,gene,coef_C,coef_D,logFC,nomP,adjP,direction_sign,direction,complex,y_offset,order,gene_ypos,treat_label,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos
t_cd4_em,24,bortezomib,dmso,180,PSMA2,0.0860219610244062,1.01590989268521,0.359893283165387,8.13576348648866e-06,0.000843170188330969,1,up,CP 20S alpha ring,8,58,66,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMA3,0.209101940249399,0.990168014490222,0.462239717357121,4.45268627255026e-08,1.02547838571428e-05,1,up,CP 20S alpha ring,8,57,65,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMA4,-0.0150099620477902,1.21996887475804,0.272603092493345,3.55876456455349e-05,0.00286463271890418,1,up,CP 20S alpha ring,8,56,64,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMA5,0.163076299024346,1.00027448762146,0.418395971098492,5.94164376825184e-07,9.47349393895692e-05,1,up,CP 20S alpha ring,8,55,63,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMA6,0.0760959573629734,0.815686418561514,0.304506997012558,0.000899233426029751,0.0394473245249347,1,up,CP 20S alpha ring,8,54,62,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMA7,0.205487918076691,1.00163538745316,0.516293776113145,7.36768097221035e-08,1.48988885220966e-05,1,up,CP 20S alpha ring,8,53,61,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMB1,0.116834920052785,0.972425053631939,0.399867328374026,6.34465522980343e-06,0.000683162811822081,1,up,CP 20S beta ring,7,52,59,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMB10,0.0392566267051434,0.216236593111332,0.046082905978479,0.625329054071976,0.922368916819539,1,up,Immunoproteasome,6,43,49,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMB2,0.154232714748894,1.4727568519552,0.525383696933219,1.23916494156247e-10,5.70773140583026e-08,1,up,CP 20S beta ring,7,51,58,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMB3,0.163201397833792,1.11745708595359,0.340333927032989,8.26091554130174e-06,0.000845570996949787,1,up,CP 20S beta ring,7,50,57,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMB4,0.0633669975459665,0.978093574024617,0.305711415727124,0.000146943708617507,0.00951804912615427,1,up,CP 20S beta ring,7,49,56,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMB5,0.0732546087820664,0.539271787204786,0.123116415802479,0.0796707265682694,0.505557584386978,1,up,CP 20S beta ring,7,48,55,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMB6,0.0931913294850632,1.47902715128873,0.33910231548667,2.74893079968479e-07,4.84923090642269e-05,1,up,CP 20S beta ring,7,47,54,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMB7,0.0452885226498164,1.21163284035362,0.408779072227395,7.37255267737555e-07,0.000113195989348372,1,up,CP 20S beta ring,7,46,53,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMB8,-0.115951429045751,-0.454088408659234,-0.128368612116206,0.0458638212249289,0.396548797588337,-1,dn,Immunoproteasome,6,45,51,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMB9,-0.0629386095550075,0.00271004556685481,-0.018988639986016,0.513021098815175,0.896196471814981,-1,dn,Immunoproteasome,6,44,50,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMC1,0.068654258215945,1.27495363919637,0.306452214744318,7.74644810442296e-06,0.000812984825743934,1,up,RP 19S base,5,42,47,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMC2,0.209690536740759,1.43873564627121,0.409523349363032,3.60301229055744e-08,8.78605144147403e-06,1,up,RP 19S base,5,41,46,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMC3,0.181372068629492,1.24615865807271,0.232110079556746,5.9874063375156e-05,0.00447221494994071,1,up,RP 19S base,5,40,45,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMC4,-0.00220987526199664,0.814369407972446,0.125699064953225,0.0384662965430241,0.369981513501407,1,up,RP 19S base,5,39,44,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMC5,-0.00567955934956721,0.40000991985291,0.085026348333422,0.324945996641139,0.817790054724238,1,up,RP 19S base,5,38,43,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMC6,0.164750472232417,1.47868775944837,0.513082560245782,2.07040411576104e-10,9.03458974935513e-08,1,up,RP 19S base,5,37,42,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMD1,0.496791942262459,2.20606103073793,1.2,5.50896379148611e-29,4.56748187952113e-25,1,up,RP 19S base,5,36,41,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMD11,0.282639677699063,1.16351061486278,0.497999646230504,9.55924445687486e-11,4.66209975246762e-08,1,up,RP 19S lid,4,27,31,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMD12,0.326789753383973,1.20154481209821,0.585637607022921,2.05141089688879e-12,1.546204340555e-09,1,up,RP 19S lid,4,26,30,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMD13,0.168642734364742,1.53004542376529,0.402520360651531,9.75284623640094e-09,2.88788743378572e-06,1,up,RP 19S lid,4,25,29,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMD14,0.427335178415195,2.04409618763308,1.02536662195231,1.30201142084726e-24,5.39748834512232e-21,1,up,RP 19S lid,4,24,28,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMD2,0.127243847933219,1.33220403801939,0.362769151775887,5.27894534827498e-07,8.58190899657801e-05,1,up,RP 19S base,5,35,40,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMD3,0.100276090941654,1.19489732281473,0.231218002148957,8.35027619079847e-05,0.00596828792223363,1,up,RP 19S lid,4,32,36,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMD4,0.0697459919350695,1.15274312290097,0.254477555715789,0.00013244329742227,0.00892753966608164,1,up,RP 19S base,5,34,39,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMD5,-0.056436489926474,0.118021064684824,0.0153981576645116,0.624306166359832,0.922368916819539,1,up,RP-associated,0,2,2,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMD6,0.044166789181138,0.917581436467576,0.194658238616819,0.00430901472276597,0.111993859142485,1,up,RP 19S lid,4,31,35,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMD7,0.193667682504237,1.1689404260005,0.472677587907338,7.721737715077e-09,2.37114545910013e-06,1,up,RP 19S lid,4,30,34,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMD8,0.0330750503080115,0.326182189287304,0.0793345365270769,0.403378833551899,0.85425642630365,1,up,RP 19S lid,4,29,33,Bor/DMSO,CD4 EM,#1C75BC,3,5
t_cd4_em,24,bortezomib,dmso,180,PSMD9,-0.0425204979751346,0.360149808545977,0.0597463783142129,0.407951153090001,0.855663804544278,1,up,RP 19S lid,4,28,32,Bor/DMSO,CD4 EM,#1C75BC,3,5
